,razao_social/Contribuinte,CNPJs,Inscricoes_SEFIN
0,IGREJA UNIVERSAL DO REINO DE DEUS,470,24
1,BANCO BRADESCO S.A.,298,1
2,MITRA ARQUIDIOCESANA DE FORTALEZA,152,24
3,IGREJA DO EVANGELHO QUADRANGULAR,55,13
4,CONGREGACAO CRISTA NO BRASIL,42,19
5,DIOCESE DE TIANGUA,31,1
6,SERVICO SOCIAL DO COMERCIO - SESC - AR.CE.,27,1
7,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,24,19
8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,22,128
9,PROVINCIA SAO FRANCISCO DAS CHAGAS DO CEARA E PIAUI,17,5
10,CONGREGACAO DAS FILHAS DE SANTA TERESA DE JESUS,15,1
11,UNIAO NORTE BRASILEIRA DE EDUCACAO E CULTURA,14,2
12,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,13,2
13,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,13,8
14,MINISTERIO GUERREIROS DE ORACAO,13,2
15,COLEGIO BATISTA SANTOS DUMONT,11,1
16,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,10,10
17,FRANCISCO DE ASSIS OLIVEIRA,8,1
18,IGREJA BATISTA AGAPE,8,2
19,ASSOCIACAO BIBLICA E CULTURAL NOVO MUNDO DE PAZ,8,1
20,IGREJA PENTECOSTAL DEUS E AMOR,8,2
21,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,8,6
22,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,7,5
23,MINISTERIO CANAA DA ASSEMBLEIA DE DEUS NO BRASIL,6,6
24,DISTRITO DA IGREJA EVANGELICA WESLEYANA DO CEARA,6,3
25,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,6,6
26,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,6,4
27,UNIAO NORDESTE BRASILEIRA DA IGREJA ADVENTISTA DO S DIA,5,5
28,CONGREGACAO REDENTORISTA DO NORTE DO BRASIL,5,2
29,GRUPO ESPIRITA PAULO E ESTEVAO,5,2
30,INSTITUTO DAS MENSAGEIRAS DE SANTA MARIA,5,1
31,ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,4,2
32,ASSOCIACAO DA IGREJA METODISTA,4,1
33,FEDERACAO ESPIRITA DO ESTADO DO CEARA FEEC,4,1
34,CONGREGACAO DAS MISSIONARIAS REPARADORAS DO C DE JESUS,3,1
35,INSTITUICAO ESPIRITA NOSSO LAR,3,2
36,COLEGIO IRMA MARIA MONTENEGRO CIMM,3,1
37,CONGREGACAO DAS IRMAS DE SANTA ELISABETE,3,1
38,IGREJA BATISTA DA FE,3,2
39,PIA SOCIEDADE FILHAS DE SAO PAULO,3,1
40,CENTRO ESPIRITA CASA DO CAMINHO,3,1
41,IGREJA DE DEUS NO BRASIL,3,1
42,ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,3,2
43,REDE DE EDUCACAO SMIC,3,1
44,IGREJA EVANGELICA ADONAI,2,1
45,ASSOCIACAO LAR ESPIRITA MEIMEI,2,1
46,ASSOCIACAO DAS HUMILDES SERVAS DO SENHOR,2,1
47,DIACONIA,2,3
48,CONSELHO PAROQUIAL NOSSA SENHORA DE FATIMA,2,1
49,INSTITUTO MARIA IMACULADA,2,2
50,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,2,6
51,ASSEMBLEIA DE DEUS RIOS DE AGUA VIVA,2,1
52,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,2,3
53,IGREJA BATISTA CENTRAL DE FORTALEZA,2,1
54,CONGREGACAO DAS IRMAS DOS ANJOS,2,1
55,ASSOCIACAO NOVA JERUSALEM,2,2
56,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,2,8
57,BAPTIST MID-MISSIONS DO BRASIL,2,1
58,INSTITUTO DAS IRMAS MISSIONARIAS DE NOSSA SENHORA DAS DORES,2,2
59,CENTRO COMUNITARIO CRISTO REDENTOR,2,2
60,CENTRO DE EDUCACAO TECNICA E CULTURAL,2,1
61,CENTRO ESPIRITA BEZERRA DE MENEZES,2,1
62,PROJETO MISSIONARIO,2,1
63,IGREJA EM FORTALEZA,2,3
64,IGREJA BATISTA ALVORADA,2,3
65,IGREJA PRESBITERIANA DA ALDEOTA,1,1
66,IGREJA PRESBITERIANA DE FORTALEZA,1,2
67,IGREJA PRESBITERIANA DE MARAPONGA,1,1
68,SOCIEDADE MAE E RAINHA,1,1
69,IGREJA MESSIANICA MUNDIAL DO BRASIL,1,1
70,IGREJA FUNDAMENTALISTA CRISTO E VIDA,1,1
71,IGREJA EVANGELICA TABERNACULO DO AVIVAMENTO,1,2
72,IGREJA EVANGELICA TABERNACULO DE ADORADORES,1,1
73,IGREJA EVANGELICA TABERNACULO DA FE,1,1
74,IGREJA EVANGELICA BETEL PARA AS NACOES,1,1
75,UNIAO ESPIRITA CEARENSE,1,4
76,IGREJA DE CRISTO NO PARQUE ARAXA,1,4
77,IGREJA DE CRISTO NO CENTRO,1,1
78,IGREJA DE CRISTO NA MARAPONGA,1,1
79,IGREJA CRISTA REI DOS REIS ICRR,1,1
80,IGREJA EVANGELICA RENOVADA DO BRASIL,1,1
81,LAR DA CRIANCA DOMINGOS SAVIO,1,1
82,IGREJA PRESBITERIANA NOVA JERUSALEM,1,1
83,IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,1,3
84,SOCIEDADE ESPIRITA CARIDADE E ESPERANCA,1,1
85,SEMINARIO TEOLOGICO BATISTA DO CEARA,1,1
86,SEMINARIO E INSTITUTO BIBLICO MARANATA,1,1
87,RAFAEL DIOGENES PINHEIRO,1,1
88,PROVINCIA DE FORTALEZA DA CONGREGACAO DA MISSAO,1,1
89,PROVINCIA CAMILIANA BRASILEIRA,1,1
90,PRIMEIRA IGREJA BATISTA EM JOSE WALTER,1,1
91,PRIMEIRA IGREJA BATISTA EM JANGURUSSU,1,1
92,PRIMEIRA IGREJA BATISTA DE FORTALEZA,1,3
93,PAROQUIA DE SAO VICENTE DE PAULO,1,11
94,PAROQUIA DE SAO PEDRO E SAO PAULO,1,1
95,MISSAO BATISTA CONSERVADORA DO BRASIL,1,1
96,LEGIAO ESPIRITA FEMININA,1,1
97,LEGIAO DE NOSSA SENHORA RAINHA DOS CORACOES,1,1
98,LECTORIUM ROSICRUCIANUM,1,1
99,LAYLLA PRISCILLA MOREIRA DE LIMA,1,1
100,IGREJA CRISTA EVANGELICA FORTALECENSE,1,1
101,INSTITUTO JOSEFINO,1,4
102,INSTITUTO DE FORMACAO E ASSISTENCIA SOCIAL,1,1
103,INSTITUTO DAS FILHAS DE SANT'ANA-NORTE - INFISA-N,1,2
104,INSTITUTO BOM PASTOR,1,1
105,INSPETORIA MARIA AUXILIADORA,1,1
106,IGREJA TENRIKYO CENTRAL DE FORTALEZA,1,2
107,IGREJA CRISTA GILEADE PARANGABA,1,2
108,1 IGREJA PRESBITERIANA INDEPENDENTE DE FORTALEZA,1,3
109,IGREJA CRISTA EVANGELICA EMANUEL,1,1
110,FRATERNIDADE DA ORDEM FRANCISCANA SECULAR OFS,1,1
111,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,1,53
112,CONSELHO COMUNITARIO JARDIM GUANABARA,1,1
113,CONFERENCIA NACIONAL DOS BISPOS DO BRASIL,1,1
114,CONFERENCIA DOS RELIGIOSOS DO BRASIL,1,1
115,COMUNIDADE EVANGELICA VERDADEIROS ADORADORES,1,1
116,COMUNIDADE EVANGELICA TEMPLO DOS PRINCIPES,1,1
117,COMUNIDADE CRISTA PEDRA ANGULAR,1,1
118,COMUNIDADE CATOLICA VEU DE MARIA PARA JESUS,1,1
119,COMUNIDADE CATOLICA MISSIONARIA UM NOVO CAMINHO,1,1
120,COLEGIO SANTO INACIO,1,1
121,CHILDFUND BRASIL,1,1
122,CENTRO JUVENIL DOM BOSCO,1,1
123,CENTRO ESPIRITA PEDRO O APOSTOLO DE JESUS,1,1
124,CENTRO ESPIRITA LAR DOS HUMILDES,1,1
125,CENTRO ESPIRITA LAR DA DIVINA LUZ,1,1
126,CENTRO ESPIRITA JOAO BATISTA,1,1
127,CENTRO ESPIRITA CAMILLE FLAMMARION,1,1
128,CENTRO ESPIRITA ANTONIO ALVES DE LINHARES,1,1
129,CENTRO ESPIRITA A SAMARITANA,1,1
130,CENTRO DE APOIO AO DESENVOLVIMENTO ESPIRITUAL,1,1
131,CASA DE NAZARE,1,3
132,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,1,5
133,ASSOCIACAO JESUS E MARIA,1,2
134,ASSOCIACAO FACE DE CRISTO,1,2
135,ASSOCIACAO ESCOLA DA BIBLIA,1,1
136,ASSOCIACAO DAS RELIGIOSAS DA INSTRUCAO CRISTA,1,1
137,ASSOCIACAO CATOLICA DE EVANGELIZACAO MARIA PORTA DO CEU,1,1
138,ARQUIDIOCESE DE FORTALEZA,1,77
139,ALFA 2 SPE EMPREENDIMENTO IMOBILIARIO LTDA,1,1
140,ESCOLA SAO RAFAEL 1 E 2 GRAUS,1,1
141,FUNDACAO BEZERRA DE MENEZES,1,1
142,IGREJA CRISTA EVANGELICA EBENEZER,1,1
143,GRUPO DE RENOVACAO ESPIRITUAL ALLAN KARDEK,1,1
144,IGREJA CONGREGACIONAL PENTECOSTAL,1,1
145,IGREJA BIBLICA SANTA FE,1,1
146,IGREJA BIBLICA HERDEIROS DE DEUS,1,1
147,IGREJA BIBLICA BATISTA DO PLANALTO,1,1
148,IGREJA BATISTA RIO JORDAO,1,1
149,IGREJA BATISTA RESTAURACAO,1,1
150,IGREJA BATISTA REGULAR JORDAO,1,1
151,IGREJA BATISTA REGULAR FILADELFIA,1,2
152,IGREJA BATISTA MEMORIAL DE FORTALEZA,1,1
153,IGREJA BATISTA MARANATA DE FORTALEZA,1,1
154,IGREJA BATISTA MANANCIAL,1,1
155,IGREJA BATISTA LUZ DO MUNDO,1,2
156,IGREJA BATISTA ESPERANCA,1,1
157,IGREJA BATISTA EMANUEL,1,1
158,IGREJA BATISTA EL SHADAI,1,1
159,IGREJA BATISTA DO CORDEIRO,1,1
160,IGREJA BATISTA DO CALVARIO DE FORTALEZA,1,1
161,IGREJA BATISTA DE PORANGABUCU,1,1
162,IGREJA BATISTA DE MUCURIPE,1,1
163,ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,1,2
164,IGREJA BATISTA BEREIANA,1,1
165,IGREJA AVIVAMENTO PENTECOSTAL DA BIBLIA,1,1
166,IGREJA ASSEMBLEIA DE DEUS NOVO VIVER,1,1
167,IGREJA ASSEMBLEIA DE DEUS MINISTERIO FILADELFIA,1,1
168,I IGREJA BATISTA EM SAO CRISTOVAO,1,1
169,GRUPO ESPIRITA RAIO DE SOL,1,1
170,GRUPO ESPIRITA HORIZONTES DA VIDA-GEHV,1,1
171,GRUPO ESPIRITA BEM-VINDO A CARIDADE,1,1
172,GRUPO ESPIRITA AVE LUZ,1,2
173,IGREJA BATISTA DE MONTESE,1,1
